File_Path,RelevanceId,RelevanceName
azure_data_explorer_clusters,2,Medium-High
azure_osconfig,5,Low
azure_content_moderators,3,Medium
azure_user_settings,4,Medium-Low
azure_network_function_manager,4,Medium-Low
azure_managed_grafana,3,Medium
azure_dev_tunnels,4,Medium-Low
azure_elastic_job_agents,3,Medium
azure_resources_provider,4,Medium-Low
azure_batch_accounts,3,Medium
azure_virtual_wan_hub,3,Medium
azure_recent,5,Low
azure_stream_analytics_jobs,2,Medium-High
azure_migrate,3,Medium
azure_journey_hub,5,Low
azure_database_instance_for_sap,3,Medium
azure_microsoft_defender_easm,3,Medium
azure_machine_learning_studio_workspaces,1,High
azure_bug,5,Low
azure_database_mariadb_server,3,Medium
azure_sql_vm,2,Medium-High
azure_storage_queue,2,Medium-High
azure_tenant_properties,4,Medium-Low
azure_microsoft_defender_for_iot,3,Medium
azure_databox_gateway,3,Medium
azure_monitors_for_sap_solutions,4,Medium-Low
azure_feature_previews,5,Low
azure_shared_image_galleries,3,Medium
azure_computer_vision,2,Medium-High
azure_outbound_connection,3,Medium
azure_auto_scale,2,Medium-High
azure_monitor_dashboard,3,Medium
azure_alerts,2,Medium-High
azure_defender_industrial_robot,5,Low
azure_backup_center,3,Medium
azure_dedicated_hsm,4,Medium-Low
azure_iot_operations,3,Medium
azure_information_protection,3,Medium
azure_cdn_profiles,2,Medium-High
azure_ssd,3,Medium
azure_defender_dcs_controller,5,Low
azure_search,2,Medium-High
azure_ip_groups,3,Medium
azure_serverless_search,3,Medium
azure_spot_vm,3,Medium
azure_download,5,Low
azure_database_mysql_server,2,Medium-High
azure_chaos_studio,3,Medium
azure_ftp,4,Medium-Low
azure_storage_sync_services,3,Medium
azure_modular_data_center,5,Low
azure_frd_qa,5,Low
azure_fileshares,2,Medium-High
azure_data_virtualization,3,Medium
azure_logic_apps_custom_connector,3,Medium
azure_reserved_capacity,4,Medium-Low
azure_face_apis,3,Medium
azure_scvmm_management_servers,4,Medium-Low
azure_targets_management,5,Low
azure_reserved_ip_addresses_(classic),4,Medium-Low
azure_my_customers,5,Low
azure_detonation,5,Low
azure_mobile_engagement,4,Medium-Low
azure_resource_group_list,3,Medium
azure_vm_app_versions,4,Medium-Low
azure_gear,5,Low
azure_network_watcher,3,Medium
azure_update_management_center,4,Medium-Low
azure_code,5,Low
azure_error,5,Low
azure_entra_global_secure_access,3,Medium
azure_edge_storage_accelerator,4,Medium-Low
azure_controls,5,Low
azure_capacity_reservation_groups,4,Medium-Low
azure_mesh_applications,3,Medium
azure_media,3,Medium
azure_managed_file_shares,3,Medium
azure_bonsai,5,Low
azure_machinesazurearc,2,Medium-High
azure_cost_export,4,Medium-Low
azure_help_and_support,5,Low
azure_elastic_san,4,Medium-Low
azure_aquila,5,Low
azure_iot_hub,2,Medium-High
azure_devices,3,Medium
azure_education,5,Low
azure_deployment_environments,3,Medium
azure_resource_groups,1,High
azure_applens,5,Low
azure_partner_namespace,4,Medium-Low
azure_sentinel,2,Medium-High
azure_backup_vault,2,Medium-High
azure_azureattestation,4,Medium-Low
azure_cloud_services_(classic),3,Medium
azure_app_services,1,High
azure_integration_accounts,3,Medium
azure_marketplace_management,5,Low
azure_capacity,4,Medium-Low
azure_power_bi_embedded,3,Medium
azure_defender_marquee,4,Medium-Low
azure_database_postgresql_server_group,3,Medium
azure_entra_internet_access,3,Medium
azure_management_groups,2,Medium-High
azure_defender_slot,4,Medium-Low
azure_device_update_iot_hub,4,Medium-Low
azure_power_platform,3,Medium
azure_storage_accounts,1,High
azure_wac,5,Low
azure_verification_as_a_service,5,Low
azure_counter,5,Low
azure_recovery_services_vaults,2,Medium-High
azure_hdi_aks_cluster,3,Medium
azure_stack,2,Medium-High
azure_defender_industrial_printer,5,Low
azure_cognitive_services,2,Medium-High
azure_data_share_invitations,4,Medium-Low
azure_application_gateways,2,Medium-High
azure_log_streaming,4,Medium-Low
azure_identity_governance,3,Medium
azure_external_id_modified,5,Low
azure_intune_for_education,4,Medium-Low
azure_mobile,4,Medium-Low
azure_verifiable_credentials,4,Medium-Low
azure_service_catalog_mad,5,Low
azure_web_jobs,3,Medium
azure_compute_galleries,3,Medium
azure_abs_member,5,Low
azure_purview_accounts,3,Medium
azure_monitor_health_models,4,Medium-Low
azure_experimentation_studio,4,Medium-Low
azure_event_hubs,1,High
azure_proximity_placement_groups,4,Medium-Low
azure_event_grid_subscriptions,2,Medium-High
azure_hosts,4,Medium-Low
azure_web_slots,3,Medium
azure_database_postgresql_server,2,Medium-High
azure_a,5,Low
azure_folder_blank,5,Low
azure_region_management,4,Medium-Low
azure_static_apps,2,Medium-High
azure_internet_analyzer_profiles,5,Low
azure_defender_web_guiding_system,5,Low
azure_storage_accounts_(classic),3,Medium
azure_scheduler,4,Medium-Low
azure_system_topic,4,Medium-Low
azure_load_test2,3,Medium
azure_solutions,5,Low
azure_storsimple_device_managers,4,Medium-Low
azure_workflow,3,Medium
azure_oracle_database,3,Medium
azure_public_ip_prefixes,3,Medium
azure_test_base,4,Medium-Low
azure_entra_identity_roles_and_administrators,3,Medium
azure_globe_error,5,Low
azure_template_specs,3,Medium
azure_production_ready_database,4,Medium-Low
azure_key_vaults,1,High
azure_network_security_perimeters,3,Medium
azure_app_service_domains,3,Medium
azure_information,5,Low
azure_blueprints,3,Medium
azure_search_grid,5,Low
azure_firewall_manager,2,Medium-High
azure_consortium,5,Low
azure_digital_twins,3,Medium
azure_stack_hci_premium,3,Medium
azure_virtual_router,3,Medium
azure_immersive_readers,4,Medium-Low
azure_sonic_dash,5,Low
azure_virtual_network_gateways,2,Medium-High
azure_defender_freezer_monitor,5,Low
azure_sql_server,1,High
azure_device_security_google,5,Low
azure_time_series_insights_access_policies,4,Medium-Low
azure_metrics_advisor,4,Medium-Low
azure_personalizers,4,Medium-Low
azure_intune,2,Medium-High
azure_breeze,5,Low
azure_infrastructure_backup,3,Medium
azure_device_security_apple,5,Low
azure_administrative_units,4,Medium-Low
azure_fhir_service,4,Medium-Low
azure_multifactor_authentication,2,Medium-High
azure_service_health,3,Medium
azure_remote_rendering,4,Medium-Low
azure_database_migration_services,3,Medium
azure_open_supply_chain_platform,4,Medium-Low
azure_cache,2,Medium-High
azure_dashboard,3,Medium
azure_cloud_shell,3,Medium
azure_speech_services,3,Medium
azure_virtual_wans,2,Medium-High
azure_form_recognizers,3,Medium
azure_web_test,4,Medium-Low
azure_token_service,4,Medium-Low
azure_server_farm,3,Medium
azure_images,3,Medium
azure_log_analytics_query_pack,3,Medium
azure_automation_accounts,2,Medium-High
azure_versions,5,Low
azure_batch_ai,3,Medium
azure_confidential_ledgers,4,Medium-Low
azure_dns_private_resolver,3,Medium
azure_quickstart_center,5,Low
azure_windows10_core_services,4,Medium-Low
azure_dev_console,4,Medium-Low
azure_time_series_data_sets,4,Medium-Low
azure_quotas,4,Medium-Low
azure_virtual_enclaves,4,Medium-Low
azure_monitor,1,High
azure_defender_robot_controller,5,Low
azure_genomics_accounts,4,Medium-Low
azure_customer_lockbox_for_microsoft_azure,4,Medium-Low
azure_community_images,4,Medium-Low
azure_avs_vm,3,Medium
azure_network_security_groups,1,High
azure_microsoft_dev_box,3,Medium
azure_web_application_firewall_policies(waf),2,Medium-High
azure_heart,5,Low
azure_cost_management,2,Medium-High
azure_host_pools,3,Medium
azure_arc_data_services,3,Medium
azure_resource_explorer,4,Medium-Low
azure_cloud_services_(extended_support),3,Medium
azure_app_service_environments,3,Medium
azure_entra_connect,2,Medium-High
azure_lighthouse,3,Medium
azure_function_apps,1,High
azure_image_versions,3,Medium
azure_spot_vmss,3,Medium
azure_location,4,Medium-Low
azure_ai_studio,2,Medium-High
azure_analysis_services,3,Medium
azure_resource_linked,4,Medium-Low
azure_module,5,Low
azure_plans,4,Medium-Low
azure_network_managers,3,Medium
azure_identity_secure_score,4,Medium-Low
azure_cognitive_search,2,Medium-High
azure_integration_environments,3,Medium
azure_storage_mover,4,Medium-Low
azure_external_identities,3,Medium
azure_machine_learning_studio_web_service_plans,3,Medium
azure_edge_management,4,Medium-Low
azure_container_instances,1,High
azure_disks_(classic),3,Medium
azure_launch_portal,5,Low
azure_kubernetes_fleet_manager,3,Medium
azure_ip_address_manager,4,Medium-Low
azure_on_premises_data_gateways,3,Medium
azure_intune_trends,4,Medium-Low
azure_virtual_networks_(classic),3,Medium
azure_arc,2,Medium-High
azure_defender_industrial_packaging_system,5,Low
azure_process_explorer,5,Low
azure_operator_nexus,4,Medium-Low
azure_sql_server_registries,4,Medium-Low
azure_vm_images_(classic),3,Medium
azure_sql_elastic_pools,2,Medium-High
azure_express_route_traffic_collector,4,Medium-Low
azure_worker_container_app,3,Medium
azure_troubleshoot,5,Low
azure_import_export_jobs,4,Medium-Low
azure_tag,5,Low
azure_os_images_(classic),3,Medium
azure_defender_pneumatic_device,5,Low
azure_entra_privleged_identity_management,3,Medium
azure_metrics,2,Medium-High
azure_exchange_on_premises_access,4,Medium-Low
azure_kubernetes_services,1,High
azure_bastions,3,Medium
azure_industrial_iot,4,Medium-Low
azure_entra_verified_id,4,Medium-Low
azure_dns_security_policy,3,Medium
azure_virtual_machines_(classic),2,Medium-High
azure_route_filters,4,Medium-Low
azure_guide,5,Low
azure_partner_topic,4,Medium-Low
azure_app_service_certificates,3,Medium
azure_sql_server_stretch_databases,4,Medium-Low
azure_tags,3,Medium
azure_sql_database_fleet_manager,4,Medium-Low
azure_vm_image_version,3,Medium
azure_entra_id_protection,2,Medium-High
azure_globe_warning,5,Low
azure_tfs_vc_repository,4,Medium-Low
azure_power,5,Low
azure_sphere,4,Medium-Low
azure_website_power,4,Medium-Low
azure_expressroute_circuits,2,Medium-High
azure_language_understanding,3,Medium
azure_storage_explorer,3,Medium
azure_peering_service,4,Medium-Low
azure_lab_services,4,Medium-Low
azure_universal_print,5,Low
azure_defender_hmi,5,Low
azure_edge_hardware_center,4,Medium-Low
azure_iot_edge,2,Medium-High
azure_anomaly_detector,3,Medium
azure_virtual_visits_builder,5,Low
azure_compliance_center,4,Medium-Low
azure_endpoint_analytics,4,Medium-Low
azure_hpc_workbenches,4,Medium-Low
azure_learn,5,Low
azure_event_grid_topics,3,Medium
azure_client_apps,3,Medium
azure_workload_orchestration,4,Medium-Low
azure_connected_vehicle_platform,4,Medium-Low
azure_application_group,3,Medium
azure_blockchain_applications,4,Medium-Low
azure_language,2,Medium-High
azure_sql,1,High
azure_groups,3,Medium
azure_entra_identity_custom_roles,3,Medium
azure_templates,3,Medium
azure_conditional_access,2,Medium-High
azure_load_balancers,1,High
azure_mindaro,5,Low
azure_storsimple_data_managers,4,Medium-Low
azure_device_security_windows,4,Medium-Low
azure_advisor,3,Medium
azure_image_definitions,3,Medium
azure_blob_page,3,Medium
azure_container_registries,2,Medium-High
azure_private_link,2,Medium-High
azure_website_staging,4,Medium-Low
azure_enterprise_applications,3,Medium
azure_builds,3,Medium
azure_defender_distributer_control_system,5,Low
azure_sql_data_warehouses,2,Medium-High
azure_cloudtest,5,Low
azure_stack_edge,4,Medium-Low
azure_software_as_a_service,4,Medium-Low
azure_blob_block,3,Medium
azure_user_subscriptions,3,Medium
azure_virtual_instance_for_sap,4,Medium-Low
azure_user_privacy,4,Medium-Low
azure_windows_notification_services,4,Medium-Low
azure_ad_b2c,2,Medium-High
azure_data_shares,4,Medium-Low
azure_toolchain_orchestrator,5,Low
azure_lab_accounts,4,Medium-Low
azure_commit,5,Low
azure_application_insights,1,High
azure_notification_hubs,3,Medium
azure_sql_edge,4,Medium-Low
azure_cosmos_db,1,High
azure_virtual_networks,1,High
azure_app_configuration,3,Medium
azure_entra_identity_risky_users,4,Medium-Low
azure_arc_sql_server,4,Medium-Low
azure_offers,5,Low
azure_mobile_networks,4,Medium-Low
azure_private_link_service,2,Medium-High
azure_hd_insight_clusters,2,Medium-High
azure_restore_points,3,Medium
azure_peerings,4,Medium-Low
azure_atm_multistack,5,Low
azure_host_groups,3,Medium
azure_restore_points_collections,3,Medium
azure_vmware_solution,2,Medium-High
azure_intune_app_protection,3,Medium
azure_cache_redis,2,Medium-High
azure_multi_tenancy,4,Medium-Low
azure_reservations,3,Medium
azure_api_center,4,Medium-Low
azure_load_balancer_hub,3,Medium
azure_application_security_groups,2,Medium-High
azure_defender_programable_board,5,Low
azure_ebooks,5,Low
azure_image,3,Medium
azure_folder_website,4,Medium-Low
azure_disk_pool,4,Medium-Low
azure_sql_database,1,High
azure_operation_log_(classic),4,Medium-Low
azure_mission_landing_zone,4,Medium-Low
azure_extensions,3,Medium
azure_updates,3,Medium
azure_ai_at_edge,3,Medium
azure_microsoft_defender_for_cloud,2,Medium-High
azure_savings_plans,4,Medium-Low
azure_app_service_plans,2,Medium-High
azure_devops,1,High
azure_storage_container,2,Medium-High
azure_managed_service_fabric,3,Medium
azure_partner_registration,4,Medium-Low
azure_entra_private_access,4,Medium-Low
azure_connections,3,Medium
azure_defender_rtu,5,Low
azure_data_box,3,Medium
azure_private_link_services,2,Medium-High
azure_powershell,4,Medium-Low
azure_firewalls,1,High
azure_service_providers,4,Medium-Low
azure_data_catalog,4,Medium-Low
azure_free_services,5,Low
azure_integration_service_environments,3,Medium
azure_defender_plc,5,Low
azure_virtual_desktop,2,Medium-High
azure_engage_center_connect,5,Low
azure_cost_budgets,3,Medium
azure_vm_scale_sets,1,High
azure_machine_learning,1,High
azure_defender_relay,5,Low
azure_resource_guard,4,Medium-Low
azure_resource_management_private_link,4,Medium-Low
azure_data_lake_storage_gen1,2,Medium-High
azure_route_tables,2,Medium-High
azure_wac_installer,5,Low
azure_event_grid_domains,3,Medium
azure_branch,5,Low
azure_app_space_component,4,Medium-Low
azure_synapse_analytics,1,High
azure_api_management_services,1,High
azure_security,2,Medium-High
azure_application_gateway_containers,3,Medium
azure_external_id,4,Medium-Low
azure_business_process_tracking,4,Medium-Low
azure_maps_accounts,3,Medium
azure_medtech_service,4,Medium-Low
azure_defender_sensor,5,Low
azure_machine_learning_studio_(classic)_web_services,3,Medium
azure_cost_analysis,3,Medium
azure_storage_functions,3,Medium
azure_logic_apps,1,High
azure_defender_meter,5,Low
azure_maintenance_configuration,3,Medium
azure_video_analyzers,3,Medium
azure_keys,3,Medium
azure_image_templates,3,Medium
azure_backlog,5,Low
azure_public_ip_addresses,2,Medium-High
azure_spatial_anchor_accounts,4,Medium-Low
azure_api_proxy,4,Medium-Low
azure_active_directory_connect_health,3,Medium
azure_defender_cm_local_manager,5,Low
azure_data_collection_rules,3,Medium
azure_time_series_insights_environments,3,Medium
azure_traffic_manager_profiles,2,Medium-High
azure_workspace_gateway,4,Medium-Low
azure_signalr,3,Medium
azure_entra_managed_identities,3,Medium
azure_availability_sets,2,Medium-High
azure_compute_fleet,4,Medium-Low
azure_workbooks,3,Medium
azure_managed_identities,3,Medium
azure_ssh_keys,3,Medium
azure_genomics,4,Medium-Low
azure_expressroute_direct,3,Medium
azure_instance_pools,3,Medium
azure_container_services_(deprecated),4,Medium-Low
azure_dashboard_hub,4,Medium-Low
azure_arc_machines,3,Medium
azure_input_output,4,Medium-Low
azure_communication_services,3,Medium
azure_sustainability,5,Low
azure_programmable_connectivity,4,Medium-Low
azure_time_series_insights_event_sources,3,Medium
azure_api_for_fhir,4,Medium-Low
azure_rtos,4,Medium-Low
azure_media_service,3,Medium
azure_ddos_protection_plans,2,Medium-High
azure_relays,3,Medium
azure_service_bus,2,Medium-High
azure_data_lake_analytics,3,Medium
azure_all_resources,3,Medium
azure_device_provisioning_services,4,Medium-Low
azure_edge_actions,5,Low
azure_private_endpoints,3,Medium
azure_hybrid_center,4,Medium-Low
gcp_user_preferences,5,Low
gcp_fleet_engine,4,Medium-Low
gcp_cloud_media_edge,4,Medium-Low
gcp_data_labeling,4,Medium-Low
gcp_policy_analyzer,3,Medium
gcp_anthos_config_management,3,Medium
gcp_cloud_armor,3,Medium
gcp_datashare,4,Medium-Low
gcp_web_security_scanner,4,Medium-Low
gcp_workload_identity_pool,4,Medium-Low
gcp_datastore,2,Medium-High
gcp_os_patch_management,4,Medium-Low
gcp_cloud_vision_api,2,Medium-High
gcp_stream_suite,5,Low
gcp_cloud_translation_api,3,Medium
gcp_batch,3,Medium
gcp_vmware_engine,3,Medium
gcp_cloud_deploy,3,Medium
gcp_certificate_authority_service,4,Medium-Low
gcp_retail_api,4,Medium-Low
gcp_ai_hub,3,Medium
gcp_security_key_enforcement,4,Medium-Low
gcp_container_registry,2,Medium-High
gcp_cloud_healthcare_api,4,Medium-Low
gcp_profiler,4,Medium-Low
gcp_cloud_ops,3,Medium
gcp_anthos,2,Medium-High
gcp_cloud_firewall_rules,3,Medium
gcp_cloud_ids,4,Medium-Low
gcp_dataproc,2,Medium-High
gcp_video_intelligence_api,4,Medium-Low
gcp_my_cloud,5,Low
gcp_api_analytics,4,Medium-Low
gcp_advanced_solutions_lab,5,Low
gcp_automl_tables,3,Medium
gcp_cloud_optimization_ai_fleet_routing_api,5,Low
gcp_phishing_protection,4,Medium-Low
gcp_pubsub,1,High
gcp_security_command_center,3,Medium
gcp_data_transfer,3,Medium
gcp_dataprep,4,Medium-Low
gcp_os_configuration_management,4,Medium-Low
gcp_security_health_advisor,4,Medium-Low
gcp_cloud_interconnect,3,Medium
gcp_cloud_logging,2,Medium-High
gcp_speech_to_text,3,Medium
gcp_cloud_inference_api,4,Medium-Low
gcp_cloud_cdn,2,Medium-High
gcp_google_maps_platform,3,Medium
gcp_automl_translation,4,Medium-Low
gcp_automl_video_intelligence,4,Medium-Low
gcp_partner_portal,5,Low
gcp_stackdriver,3,Medium
gcp_home,5,Low
gcp_cloud_functions,1,High
gcp_cloud_optimization_ai,4,Medium-Low
gcp_bare_metal_solutions,4,Medium-Low
gcp_automl_natural_language,4,Medium-Low
gcp_database_migration_service,3,Medium
gcp_cloud_healthcare_marketplace,5,Low
gcp_permissions,4,Medium-Low
gcp_cloud_load_balancing,1,High
gcp_network_tiers,4,Medium-Low
gcp_dialogflow,3,Medium
gcp_automl_vision,4,Medium-Low
gcp_dialogflow_insights,4,Medium-Low
gcp_web_risk,4,Medium-Low
gcp_media_translation_api,4,Medium-Low
gcp_data_qna,5,Low
gcp_quantum_engine,5,Low
gcp_data_studio,3,Medium
gcp_cloud_asset_inventory,4,Medium-Low
gcp_cloud_api_gateway,2,Medium-High
gcp_secret_manager,2,Medium-High
gcp_cloud_sql,1,High
gcp_virtual_private_cloud,1,High
gcp_cloud_spanner,2,Medium-High
gcp_financial_services_marketplace,5,Low
gcp_partner_interconnect,4,Medium-Low
gcp_memorystore,3,Medium
gcp_cloud_generic,5,Low
gcp_cloud_build,2,Medium-High
gcp_api,3,Medium
gcp_cloud_external_ip_addresses,4,Medium-Low
gcp_identity_and_access_management,1,High
gcp_real_world_insights,5,Low
gcp_cloud_audit_logs,3,Medium
gcp_data_layers,5,Low
gcp_api_monetization,5,Low
gcp_recommendations_ai,4,Medium-Low
gcp_artifact_registry,3,Medium
gcp_game_servers,4,Medium-Low
gcp_cloud_tpu,4,Medium-Low
gcp_migrate_for_anthos,4,Medium-Low
gcp_debugger,4,Medium-Low
gcp_catalog,4,Medium-Low
gcp_cloud_data_fusion,3,Medium
gcp_cloud_security_scanner,4,Medium-Low
gcp_cloud_run,1,High
gcp_datastream,3,Medium
gcp_connectors,4,Medium-Low
gcp_beyondcorp,4,Medium-Low
gcp_migrate_for_compute_engine,4,Medium-Low
gcp_identity_platform,3,Medium
gcp_release_notes,5,Low
gcp_cloud_dns,2,Medium-High
gcp_eventarc,3,Medium
gcp_cloud_jobs_api,4,Medium-Low
gcp_cloud_run_for_anthos,3,Medium
gcp_cloud_gpu,3,Medium
gcp_apigee_sense,4,Medium-Low
gcp_cloud_natural_language_api,3,Medium
gcp_cloud_network,2,Medium-High
gcp_connectivity_test,4,Medium-Low
gcp_performance_dashboard,4,Medium-Low
gcp_analytics_hub,4,Medium-Low
gcp_os_inventory_management,4,Medium-Low
gcp_private_connectivity,3,Medium
gcp_risk_manager,4,Medium-Low
gcp_onboarding,5,Low
gcp_assured_workloads,4,Medium-Low
gcp_trace,4,Medium-Low
gcp_error_reporting,3,Medium
gcp_cloud_for_marketing,5,Low
gcp_access_context_manager,4,Medium-Low
gcp_dialogflow_cx,3,Medium
gcp_traffic_director,4,Medium-Low
gcp_google_cloud_marketplace,4,Medium-Low
gcp_document_ai,3,Medium
gcp_dataplex,3,Medium
gcp_developer_portal,5,Low
gcp_cloud_scheduler,2,Medium-High
gcp_tensorflow_enterprise,3,Medium
gcp_ai_platform_unified,2,Medium-High
gcp_cloud_storage,1,High
gcp_project,3,Medium
gcp_cloud_code,4,Medium-Low
gcp_cloud_router,3,Medium
gcp_persistent_disk,2,Medium-High
gcp_cloud_composer,3,Medium
gcp_datapol,5,Low
gcp_cloud_ekm,4,Medium-Low
gcp_tools_for_powershell,5,Low
gcp_data_catalog,3,Medium
gcp_cloud_test_lab,4,Medium-Low
gcp_managed_service_for_microsoft_active_directory,4,Medium-Low
gcp_iot_edge,4,Medium-Low
gcp_binary_authorization,4,Medium-Low
gcp_cloud_tasks,3,Medium
gcp_cloud_routes,4,Medium-Low
gcp_data_loss_prevention_api,3,Medium
gcp_bigquery,1,High
gcp_identity_aware_proxy,3,Medium
gcp_firestore,2,Medium-High
gcp_support,5,Low
gcp_transfer,4,Medium-Low
gcp_local_ssd,4,Medium-Low
gcp_looker,3,Medium
gcp_runtime_config,4,Medium-Low
gcp_certificate_manager,3,Medium
gcp_service_discovery,4,Medium-Low
gcp_launcher,5,Low
gcp_google_kubernetes_engine,1,High
gcp_healthcare_nlp_api,4,Medium-Low
gcp_app_engine,2,Medium-High
gcp_agent_assist,4,Medium-Low
gcp_network_connectivity_center,3,Medium
gcp_anthos_service_mesh,3,Medium
gcp_configuration_management,4,Medium-Low
gcp_text_to_speech,3,Medium
gcp_cloud_hsm,4,Medium-Low
gcp_transfer_appliance,4,Medium-Low
gcp_free_trial,5,Low
gcp_network_topology,4,Medium-Low
gcp_cloud_endpoints,3,Medium
gcp_compute_engine,1,High
gcp_ai_platform,2,Medium-High
gcp_early_access_center,5,Low
gcp_billing,4,Medium-Low
gcp_filestore,3,Medium
gcp_visual_inspection,4,Medium-Low
gcp_quotas,4,Medium-Low
gcp_cloud_monitoring,2,Medium-High
gcp_dataflow,2,Medium-High
gcp_cloud_apis,3,Medium
gcp_workflows,3,Medium
gcp_vertex_ai,1,High
gcp_key_management_service,2,Medium-High
gcp_gke_on_prem,4,Medium-Low
gcp_gce_systems_management,4,Medium-Low
gcp_automl,3,Medium
gcp_security,3,Medium
gcp_datalab,4,Medium-Low
gcp_network_intelligence_center,4,Medium-Low
gcp_cloud_deployment_manager,3,Medium
gcp_cloud_vpn,3,Medium
gcp_standard_network_tier,4,Medium-Low
gcp_key_access_justifications,5,Low
gcp_administration,4,Medium-Low
gcp_apigee_api_platform,3,Medium
gcp_private_service_connect,3,Medium
gcp_premium_network_tier,4,Medium-Low
gcp_cloud_shell,4,Medium-Low
gcp_iot_core,3,Medium
gcp_genomics,5,Low
gcp_cloud_nat,3,Medium
gcp_container_optimized_os,4,Medium-Low
